Alabaster,_Alabama	Alabaster, Alabama	Alabaster	The City for Families
Bloomington-Normal,_Illinois	Bloomington-Normal, Illinois		The City That Works (by Mayor Daley, for example
Bloomington-Normal,_Illinois	Bloomington-Normal, Illinois		The Second City
Bloomington-Normal,_Illinois	Bloomington-Normal, Illinois		The Windy City
Collinsville,_Illinois	Collinsville, Illinois	Collinsville	Horseradish Capital of the World
Crystal_Lake,_Illinois	Crystal Lake, Illinois	Crystal Lake	A Good Place to Live
DeKalb,_Illinois	DeKalb, Illinois	DeKalb	Barbed Wire Capital of the World
Elgin,_Illinois	Elgin, Illinois	Elgin	Bluff City, River City, The City To Watch
Freeport,_Illinois	Freeport, Illinois	Freeport	Pretzel City, USA 
Griggsville,_Illinois	Griggsville, Illinois	Griggsville	Purple Martin Capital of the World
Huntley,_Illinois	Huntley, Illinois	Huntley	The Friendly Village With Country Charm
Joliet,_Illinois	Joliet, Illinois	Joliet	City of Champions
Joliet,_Illinois	Joliet, Illinois	Joliet	City of Steel
Joliet,_Illinois	Joliet, Illinois	Joliet	City of Stone
Kewanee,_Illinois	Kewanee, Illinois	Kewanee	Hog Capital of the World "
Lombard,_Illinois	Lombard, Illinois	Lombard	The Lilac Village
Marseilles,_Illinois	Marseilles, Illinois	Marseilles	Best Little City By A Dam Site
Mattoon,_Illinois	Mattoon, Illinois	Mattoon	Bagel Capital of the World
Metropolis,_Illinois	Metropolis, Illinois	Metropolis	The Home of Superman
Moline,_Illinois	Moline, Illinois	Moline	Plow Capital of the World
Morton,_Illinois	Morton, Illinois	Morton	Pumpkin Capital of the World
Naperville,_Illinois	Naperville, Illinois	Naperville	The Golden City
Olney,_Illinois	Olney, Illinois	Olney	Home of the white squirrels
Pana,_Illinois	Pana, Illinois	Pana	City of Roses
Pekin,_Illinois	Pekin, Illinois	Pekin	Celestial City
Pekin,_Illinois	Pekin, Illinois	Pekin	Marigold Capital of the World
Peoria,_Illinois	Peoria, Illinois	Peoria	Whiskeytown
Quincy,_Illinois	Quincy, Illinois	Quincy	Gem City
Rockford,_Illinois	Rockford, Illinois	Rockford	The Forest City
Springfield,_Illinois	Springfield, Illinois	Springfield	Flower City
Thomson,_Illinois	Thomson, Illinois	Thomson	The Melon Capital of the World
Wilmington,_Will_County,_Illinois	Wilmington, Will County, Illinois	Wilmington	The Island City
Bedford,_Indiana	Bedford, Indiana	Bedford	Stone City
Bluffton,_Indiana	Bluffton, Indiana	Bluffton	Asphalt City
Churubusco,_Indiana	Churubusco, Indiana	Churubusco	Turtle Town, U.S.A
Clay_City,_Indiana	Clay City, Indiana	Clay City	
Columbus,_Indiana	Columbus, Indiana	Columbus	Athens of the Prairie
