Alabaster,_Alabama	Alabaster, Alabama	Alabaster	The City for Families
Minneapolis,_Minnesota	Minneapolis, Minnesota	Minneapolis	The Mini Apple
Minneapolis,_Minnesota	Minneapolis, Minnesota	Minneapolis	Murderapolis
Montgomery,_Minnesota	Montgomery, Minnesota	Montgomery	Kolacky Capital of the World
Monticello,_Minnesota	Monticello, Minnesota	Monticello	Little Mountain
Mountain_Iron,_Minnesota	Mountain Iron, Minnesota	Mountain Iron	Taconite Capital of the World
New_Ulm,_Minnesota	New Ulm, Minnesota	New Ulm	The City of Charm and Tradition
Northfield,_Minnesota	Northfield, Minnesota	Northfield	Cows, Colleges and Contentment
Preston,_Minnesota	Preston, Minnesota	Preston	America's Trout Capital
Robbinsdale,_Minnesota	Robbinsdale, Minnesota	Robbinsdale	Birdtown
Rochester,_Minnesota	Rochester, Minnesota	Rochester	Med City
St._Louis_Park,_Minnesota	St. Louis Park, Minnesota	St. Louis Park	St. Jewish Park
Saint_Paul,_Minnesota	Saint Paul, Minnesota	Saint Paul	Hockeytown
Saint_Paul,_Minnesota	Saint Paul, Minnesota	Saint Paul	Saintly City
Warroad,_Minnesota	Warroad, Minnesota	Warroad	
Worthington,_Minnesota	Worthington, Minnesota	Worthington	Turkey Capital of the World
Artesia,_Mississippi	Artesia, Mississippi	Artesia	Johnson Grass Capital of the World
Belzoni,_Mississippi	Belzoni, Mississippi	Belzoni	Catfish Capital of the World
Biloxi,_Mississippi	Biloxi, Mississippi	Biloxi	The Playground of the South
Greenwood,_Mississippi	Greenwood, Mississippi	Greenwood	Cotton Capital of the World
Gulfport,_Mississippi	Gulfport, Mississippi	Gulfport	Root Beer Capital of the World
Gulfport,_Mississippi	Gulfport, Mississippi	Gulfport	Where Your Ship Comes In
Hattiesburg,_Mississippi	Hattiesburg, Mississippi	Hattiesburg	Hub City
Jackson,_Mississippi	Jackson, Mississippi	Jackson	Chimneyville 
Jackson,_Mississippi	Jackson, Mississippi	Jackson	City with Soul
Oxford,_Mississippi	Oxford, Mississippi	Oxford	The literary center of the South
Oxford,_Mississippi	Oxford, Mississippi	Oxford	The Little Easy (in reference to New Orleans, the "Big Easy")
Port_Gibson,_Mississippi	Port Gibson, Mississippi	Port Gibson	The town too beautiful to burn
Senatobia,_Mississippi	Senatobia, Mississippi	Senatobia	The Five Star City
Vicksburg,_Mississippi	Vicksburg, Mississippi	Vicksburg	The Gibraltar of America
Vicksburg,_Mississippi	Vicksburg, Mississippi	Vicksburg	Red Carpet City of the South
Vicksburg,_Mississippi	Vicksburg, Mississippi	Vicksburg	Take Me to the River
Branson,_Missouri	Branson, Missouri	Branson	Missouri's Entertainment capital
Brunswick,_Missouri	Brunswick, Missouri	Brunswick	Home of the World's Largest Pecan
Carthage,_Missouri	Carthage, Missouri	Carthage	The Maple Leaf City
Hannibal,_Missouri	Hannibal, Missouri	Hannibal	The Bluff City
Independence,_Missouri	Independence, Missouri	Independence	Where the Trails Start and the Buck Stops
Kansas_City,_Missouri	Kansas City, Missouri	Kansas City	BBQ Capital of the World
Kansas_City,_Missouri	Kansas City, Missouri	Kansas City	City of Fountains
Kansas_City,_Missouri	Kansas City, Missouri	Kansas City	Cowtown
Kansas_City,_Missouri	Kansas City, Missouri	Kansas City	Jazz Capital of the World
Kansas_City,_Missouri	Kansas City, Missouri	Kansas City	K.C. (inspiring the nickname of Casey Stengel, among others)
Kansas_City,_Missouri	Kansas City, Missouri	Kansas City	KCMO
Kansas_City,_Missouri	Kansas City, Missouri	Kansas City	Killa City
Kansas_City,_Missouri	Kansas City, Missouri	Kansas City	Paris of the Plains
King_City,_Missouri	King City, Missouri	King City	The Gem of the Highway
Kirkwood,_Missouri	Kirkwood, Missouri	Kirkwood	The Green Tree City
Lathrop,_Missouri	Lathrop, Missouri	Lathrop	Mule Capital of the World
Marionville,_Missouri	Marionville, Missouri	Marionville	Home of the White Squirrels
Moberly,_Missouri	Moberly, Missouri	Moberly	Magic City
Neosho,_Missouri	Neosho, Missouri	Neosho	Flower Box City
Peculiar,_Missouri	Peculiar, Missouri	Peculiar	Where the Odds are with You
Rolla,_Missouri	Rolla, Missouri	Rolla	The Middle of Everywhere
O%27Fallon,_Missouri	O'Fallon, Missouri	O'Fallon	Gateway to the West
O%27Fallon,_Missouri	O'Fallon, Missouri	O'Fallon	Mound City
O%27Fallon,_Missouri	O'Fallon, Missouri	O'Fallon	The Lou
O%27Fallon,_Missouri	O'Fallon, Missouri	O'Fallon	There's More Than Meets the Arch
Salem,_Missouri	Salem, Missouri	Salem	Charcoal Capital of the World
Sedalia,_Missouri	Sedalia, Missouri	Sedalia	The Queen City of the Prairie
Springfield,_Missouri	Springfield, Missouri	Springfield	Queen City of the Ozarks
Springfield,_Missouri	Springfield, Missouri	Springfield	Birthplace of Route 66
Sumner,_Missouri	Sumner, Missouri	Sumner	Wild Goose Capital of the World
Warrensburg,_Missouri	Warrensburg, Missouri	Warrensburg	The Burg 
Washington,_Missouri	Washington, Missouri	Washington	Corn Cob Pipe Capital of the World
Billings,_Montana	Billings, Montana		Bozeman – The Bozone
Billings,_Montana	Billings, Montana		Butte – The Richest Hill on Earth 
Billings,_Montana	Billings, Montana		Cut Bank – Coldest Spot in the Nation
Glendive,_Montana	Glendive, Montana	Glendive	Good People Surrounded by Badlands
Great_Falls,_Montana	Great Falls, Montana	Great Falls	The Electric City
Helena,_Montana	Helena, Montana	Helena	Queen City of the Rockies 
Kalispell,_Montana	Kalispell, Montana	Kalispell	Hub of the Valley
Missoula,_Montana	Missoula, Montana	Missoula	The Garden City
Cozad,_Nebraska	Cozad, Nebraska	Cozad	Alfalfa Capital of the World
Crawford,_Nebraska	Crawford, Nebraska	Crawford	Deer Capital of Nebraska
Dannebrog,_Nebraska	Dannebrog, Nebraska	Dannebrog	Danish Capital of Nebraska
Eustis,_Nebraska	Eustis, Nebraska	Eustis	Sausage Capital of Nebraska
Hastings,_Nebraska	Hastings, Nebraska	Hastings	Queen City of the Plains
Hastings,_Nebraska	Hastings, Nebraska	Hastings	Birthplace of Kool-Aid
Lincoln,_Nebraska	Lincoln, Nebraska	Lincoln	Hartford of the West 
Lincoln,_Nebraska	Lincoln, Nebraska	Lincoln	Steak Capital of the World
Loup_City,_Nebraska	Loup City, Nebraska	Loup City	Polish Capital of Nebraska
North_Loup,_Nebraska	North Loup, Nebraska	North Loup	Popcorn Capital
North_Platte,_Nebraska	North Platte, Nebraska	North Platte	Little Chicago
Oakland,_Nebraska	Oakland, Nebraska	Oakland	Swedish Capital of Nebraska
O%27Neill,_Nebraska	O'Neill, Nebraska	O'Neill	Nebraska's Irish Capital
Omaha,_Nebraska	Omaha, Nebraska	Omaha	'The Big 'O'
Omaha,_Nebraska	Omaha, Nebraska	Omaha	Gateway to the West
Omaha,_Nebraska	Omaha, Nebraska	Omaha	Rare. Well Done
Seward,_Nebraska	Seward, Nebraska	Seward	Nebraska's 4 July City
Randolph,_Nebraska	Randolph, Nebraska	Randolph	Honey Capital of the Nation
Unadilla,_Nebraska	Unadilla, Nebraska	Unadilla	Groundhog Capital of Nebraska
Fallon,_Nevada	Fallon, Nevada	Fallon	The Oasis of Nevada
Genoa,_Nevada	Genoa, Nevada	Genoa	Home of the Candy Dance
Las_Vegas,_Nevada	Las Vegas, Nevada	Las Vegas	Gambling Capital of the World
Las_Vegas,_Nevada	Las Vegas, Nevada	Las Vegas	Glitter Gulch
Las_Vegas,_Nevada	Las Vegas, Nevada	Las Vegas	Lost Wages
Las_Vegas,_Nevada	Las Vegas, Nevada	Las Vegas	Sin City
Reno,_Nevada	Reno, Nevada	Reno	The Biggest Little City in the World
Reno,_Nevada	Reno, Nevada	Reno	The Neon Babylon
Winnemucca,_Nevada	Winnemucca, Nevada	Winnemucca	City of Paved Streets
Berlin,_New_Hampshire	Berlin, New Hampshire	Berlin	The City That Trees Built
Concord,_New_Hampshire	Concord, New Hampshire	Concord	The Capital City
Concord,_New_Hampshire	Concord, New Hampshire	Concord	The City in a Coma
Derry,_New_Hampshire	Derry, New Hampshire	Derry	Space Town
Epping,_New_Hampshire	Epping, New Hampshire	Epping	The Center of the Universe
Keene,_New_Hampshire	Keene, New Hampshire	Keene	Elm City
Manchester,_New_Hampshire	Manchester, New Hampshire	Manchester	ManchVegas
Manchester,_New_Hampshire	Manchester, New Hampshire	Manchester	Queen City
Meredith,_New_Hampshire	Meredith, New Hampshire	Meredith	Latchkey to the White Mountains
Milford,_New_Hampshire	Milford, New Hampshire	Milford	Granite Town
Nashua,_New_Hampshire	Nashua, New Hampshire	Nashua	The Gate City
Rochester,_New_Hampshire	Rochester, New Hampshire	Rochester	Lilac City
Rumney,_New_Hampshire	Rumney, New Hampshire	Rumney	Crutch Capital of the World
Salem,_New_Hampshire	Salem, New Hampshire	Salem	Gateway to New Hampshire
Albuquerque,_New_Mexico	Albuquerque, New Mexico	Albuquerque	The Duke City
Anthony,_New_Mexico	Anthony, New Mexico	Anthony	Leap Year Capital of the World (shared with 
Carlsbad,_New_Mexico	Carlsbad, New Mexico	Carlsbad	Cavern City
Espanola,_New_Mexico	Espanola, New Mexico	Española	The Heart of New Mexico
Gallup,_New_Mexico	Gallup, New Mexico	Gallup	Drunk Driving Capital of America
Hatch,_New_Mexico	Hatch, New Mexico	Hatch	Chili Pepper Capital of the World
Las_Cruces,_New_Mexico	Las Cruces, New Mexico	Las Cruces	The City of the Crosses
Los_Alamos,_New_Mexico	Los Alamos, New Mexico	Los Alamos	The Atomic City
Rio_Rancho,_New_Mexico	Rio Rancho, New Mexico	Rio Rancho	City of Vision
Roswell,_New_Mexico	Roswell, New Mexico	Roswell	Alien Capital of the World 
Roswell,_New_Mexico	Roswell, New Mexico	Roswell	The Aliens Aren't the Only Reason to Visit
Santa_Fe,_New_Mexico	Santa Fe, New Mexico	Santa Fe	The City Different
Santa_Rosa,_New_Mexico	Santa Rosa, New Mexico	Santa Rosa	The Scuba Capital of the Southwest
Taos,_New_Mexico	Taos, New Mexico	Taos	Soul of the Southwest
Apex,_North_Carolina	Apex, North Carolina	Apex	Peak of Good Living
Boone,_North_Carolina	Boone, North Carolina	Boone	Firefly Capital of the World
Brevard,_North_Carolina	Brevard, North Carolina	Brevard	Home of the white squirrels
Calabash,_North_Carolina	Calabash, North Carolina	Calabash	Seafood Capital of the World
Cape_Hatteras,_North_Carolina	Cape Hatteras, North Carolina	Cape Hatteras	The Graveyard of the Atlantic
Carrboro,_North_Carolina	Carrboro, North Carolina	Carrboro	Paris of the Piedmont
Chadbourn,_North_Carolina	Chadbourn, North Carolina	Chadbourn	Strawberry Capital of the World
Chapel_Hill,_North_Carolina	Chapel Hill, North Carolina	Chapel Hill	Chapel Thrill
Chapel_Hill,_North_Carolina	Chapel Hill, North Carolina	Chapel Hill	The Southern Part of Heaven
Charlotte,_North_Carolina	Charlotte, North Carolina	Charlotte	The Banking City
Charlotte,_North_Carolina	Charlotte, North Carolina	Charlotte	Queen City
Charlotte,_North_Carolina	Charlotte, North Carolina	Charlotte	The Wall Street Of The South
Durham,_North_Carolina	Durham, North Carolina		City of Medicine
Durham,_North_Carolina	Durham, North Carolina		Black Wall Street of America
Erwin,_North_Carolina	Erwin, North Carolina	Erwin	Denim Capital of the World
Fayetteville,_North_Carolina	Fayetteville, North Carolina	Fayetteville	All-American City
Fayetteville,_North_Carolina	Fayetteville, North Carolina	Fayetteville	City of Dogwoods
Fayetteville,_North_Carolina	Fayetteville, North Carolina	Fayetteville	Fayettenam
Fayetteville,_North_Carolina	Fayetteville, North Carolina	Fayetteville	Tar Heel Town
Fayetteville,_North_Carolina	Fayetteville, North Carolina	Fayetteville	Torture Town
Greensboro,_North_Carolina	Greensboro, North Carolina	Greensboro	Gateway City
Hendersonville,_North_Carolina	Hendersonville, North Carolina	Hendersonville	City of Four Seasons
High_Point,_North_Carolina	High Point, North Carolina	High Point	Furniture capital of the world
Kannapolis,_North_Carolina	Kannapolis, North Carolina	Kannapolis	City of Looms
Maggie_Valley,_North_Carolina	Maggie Valley, North Carolina	Maggie Valley	Clogging Capital of the World
Pinehurst,_North_Carolina	Pinehurst, North Carolina	Pinehurst	Golf Capital of the World
Raleigh,_North_Carolina	Raleigh, North Carolina	Raleigh	The City of Oaks
Raleigh,_North_Carolina	Raleigh, North Carolina	Raleigh	Raleighwood
Rocky_Mount,_North_Carolina	Rocky Mount, North Carolina	Rocky Mount	City on the Rise
Rocky_Mount,_North_Carolina	Rocky Mount, North Carolina	Rocky Mount	Rocky City
Thomasville,_North_Carolina	Thomasville, North Carolina	Thomasville	Chair City
Winston-Salem,_North_Carolina	Winston-Salem, North Carolina	Winston-Salem	Twin City
Winston-Salem,_North_Carolina	Winston-Salem, North Carolina	Winston-Salem	Camel City
Wilmington,_North_Carolina	Wilmington, North Carolina	Wilmington	Wilmywood
Dickinson,_North_Dakota	Dickinson, North Dakota	Dickinson	Queen City or Queen City of the Prairies
Drayton,_North_Dakota	Drayton, North Dakota	Drayton	Catfish Capital of the North 
Grand_Forks	Grand Forks	Grand Forks	The Grand Cities (shares with 
Jamestown,_North_Dakota	Jamestown, North Dakota	Jamestown	The Buffalo City
Minot	Minot	Minot	The Magic City
Ray,_North_Dakota	Ray, North Dakota	Ray	Grain Palace City
Towner,_North_Dakota	Towner, North Dakota	Towner	Cattle Capital of North Dakota
Beaver,_Oklahoma	Beaver, Oklahoma	Beaver	Cow Chip Capital of the World
Drumright,_Oklahoma	Drumright, Oklahoma	Drumright	Town of Oil Repute
Durant,_Oklahoma	Durant, Oklahoma	Durant	Magnolia Capital of Oklahoma
El_Reno,_Oklahoma	El Reno, Oklahoma	El Reno	The Onion Fried Burger Capital of the World
Glenpool,_Oklahoma	Glenpool, Oklahoma	Glenpool	The Town that Made Tulsa Famous
Inola,_Oklahoma	Inola, Oklahoma	Inola	Hay Capital of the World
Lawton,_Oklahoma	Lawton, Oklahoma	Lawton	L-town
Mannford,_Oklahoma	Mannford, Oklahoma	Mannford	Striped Bass Capital
Norman,_Oklahoma	Norman, Oklahoma	Norman	Football Town
Oklahoma_City,_Oklahoma	Oklahoma City, Oklahoma	Oklahoma City	The Big Friendly
Oklahoma_City,_Oklahoma	Oklahoma City, Oklahoma	Oklahoma City	The City
Oklahoma_City,_Oklahoma	Oklahoma City, Oklahoma	Oklahoma City	OKC
Purcell,_Oklahoma	Purcell, Oklahoma	Purcell	Quarterhorse Capital of the World
Purcell,_Oklahoma	Purcell, Oklahoma	Purcell	The Heart of Oklahoma
Rush_Springs,_Oklahoma	Rush Springs, Oklahoma	Rush Springs	Watermelon Capital of the World
Stilwell,_Oklahoma	Stilwell, Oklahoma	Stilwell	Strawberry Capital
Tulsa,_Oklahoma	Tulsa, Oklahoma	Tulsa	Oil Capital of the World
Albany,_Oregon	Albany, Oregon	Albany	Grass Seed Capital of the World
Eugene,_Oregon	Eugene, Oregon	Eugene	The Emerald City
Eugene,_Oregon	Eugene, Oregon	Eugene	Tracktown, USA
Keizer,_Oregon	Keizer, Oregon	Keizer	Iris Capital of the World
Lake_Oswego,_Oregon	Lake Oswego, Oregon	Lake Oswego	Lake No-Negro
Milton-Freewater,_Oregon	Milton-Freewater, Oregon	Milton-Freewater	Muddy Frogwater Country
Phoenix,_Oregon	Phoenix, Oregon	Phoenix	The Other Phoenix
Portland,_Oregon	Portland, Oregon	Portland	Bridgetown, for the large number of bridges in the city
Portland,_Oregon	Portland, Oregon	Portland	Rose City
Portland,_Oregon	Portland, Oregon	Portland	Stumptown
Salem,_Oregon	Salem, Oregon	Salem	The Cherry City
Talent,_Oregon	Talent, Oregon	Talent	Our name speaks for itself
Allentown,_Pennsylvania	Allentown, Pennsylvania	Allentown	Band City USA 
Allentown,_Pennsylvania	Allentown, Pennsylvania	Allentown	Peanut City
Allentown,_Pennsylvania	Allentown, Pennsylvania	Allentown	The Queen City
Allentown,_Pennsylvania	Allentown, Pennsylvania	Allentown	Silk City
Allentown,_Pennsylvania	Allentown, Pennsylvania	Allentown	Truck Capital of the World
Bethlehem,_Pennsylvania	Bethlehem, Pennsylvania	Bethlehem	Christmas City, USA
Erie,_Pennsylvania	Erie, Pennsylvania	Erie	The Flagship City
Hanover,_Pennsylvania	Hanover, Pennsylvania	Hanover	Snack Capital of the World
Hershey,_Pennsylvania	Hershey, Pennsylvania	Hershey	Chocolate Capital of the World
Hershey,_Pennsylvania	Hershey, Pennsylvania	Hershey	Chocolate Town
Hershey,_Pennsylvania	Hershey, Pennsylvania	Hershey	The Sweetest Place on Earth
Indiana,_Pennsylvania	Indiana, Pennsylvania	Indiana	Christmas Tree Capital of the World 
Johnstown,_Pennsylvania	Johnstown, Pennsylvania	Johnstown	The Flood City
Johnstown,_Pennsylvania	Johnstown, Pennsylvania	Johnstown	The Friendly City
Lewisburg,_Pennsylvania	Lewisburg, Pennsylvania	Lewisburg	The Big Chip
New_Castle,_Pennsylvania	New Castle, Pennsylvania	New Castle	Fireworks Capital
Philadelphia	Philadelphia	Philadelphia	The City of Brotherly Love
Philadelphia	Philadelphia	Philadelphia	City of Homes
Philadelphia	Philadelphia	Philadelphia	Philly
Philadelphia	Philadelphia	Philadelphia	The Athens of America
Philadelphia	Philadelphia	Philadelphia	The Big Scrapple
Philadelphia	Philadelphia	Philadelphia	City of Murals
Philadelphia	Philadelphia	Philadelphia	The Cradle of Liberty
Philadelphia	Philadelphia	Philadelphia	Quaker City
Philadelphia	Philadelphia	Philadelphia	The Workshop of the World
Pittsburgh,_Pennsylvania	Pittsburgh, Pennsylvania	Pittsburgh	Birmingham of America
Pittsburgh,_Pennsylvania	Pittsburgh, Pennsylvania	Pittsburgh	The 'Burgh
Pittsburgh,_Pennsylvania	Pittsburgh, Pennsylvania	Pittsburgh	Iron City
Pittsburgh,_Pennsylvania	Pittsburgh, Pennsylvania	Pittsburgh	The Smoky City
Pittsburgh,_Pennsylvania	Pittsburgh, Pennsylvania	Pittsburgh	The Steel City
Pittsburgh,_Pennsylvania	Pittsburgh, Pennsylvania	Pittsburgh	The City of Bridges
Punxsutawney,_Pennsylvania	Punxsutawney, Pennsylvania	Punxsutawney	Weather Capital of the World
Reading,_Pennsylvania	Reading, Pennsylvania	Reading	Pretzel Capital of the World
Reading,_Pennsylvania	Reading, Pennsylvania	Reading	Baseballtown
Scranton,_Pennsylvania	Scranton, Pennsylvania	Scranton	The Electric City
State_College,_Pennsylvania	State College, Pennsylvania	State College	Happy Valley
Wilkes-Barre,_Pennsylvania	Wilkes-Barre, Pennsylvania	Wilkes-Barre	Diamond City
Williamsport,_Pennsylvania	Williamsport, Pennsylvania	Williamsport	Little Philly
Galilee,_Rhode_Island	Galilee, Rhode Island		America's First Resort
Galilee,_Rhode_Island	Galilee, Rhode Island		Sailing Capital of the World
Pawtucket,_Rhode_Island	Pawtucket, Rhode Island	Pawtucket	The Bucket
Providence,_Rhode_Island	Providence, Rhode Island	Providence	America's Renaissance City or The Renaissance City
Providence,_Rhode_Island	Providence, Rhode Island	Providence	Beehive of Industry
Warwick,_Rhode_Island	Warwick, Rhode Island	Warwick	Crossroads of Rhode Island
Anderson,_South_Carolina	Anderson, South Carolina	Anderson	The Electric City
Blacksburg,_South_Carolina	Blacksburg, South Carolina	Blacksburg	The Iron City
Charleston,_South_Carolina	Charleston, South Carolina	Charleston	The Big Sweet Grass Basket
Charleston,_South_Carolina	Charleston, South Carolina	Charleston	The Holy City
Charleston,_South_Carolina	Charleston, South Carolina	Charleston	New York of the South
Charleston,_South_Carolina	Charleston, South Carolina	Charleston	Palmetto City
Columbia,_South_Carolina	Columbia, South Carolina	Columbia	The Capital of Southern Hospitality
Elgin,_South_Carolina	Elgin, South Carolina	Elgin	Home of the Catfish Stomp
Greenville,_South_Carolina	Greenville, South Carolina	Greenville	Textile Capital of the World
Greenwood,_South_Carolina	Greenwood, South Carolina	Greenwood	The Emerald City
Myrtle_Beach,_South_Carolina	Myrtle Beach, South Carolina	Myrtle Beach	Golf Capital of the World
Spartanburg,_South_Carolina	Spartanburg, South Carolina	Spartanburg	The Hub City
Spartanburg,_South_Carolina	Spartanburg, South Carolina	Spartanburg	Sparkle City
Clark,_South_Dakota	Clark, South Dakota	Clark	Potato Capital of South Dakota
Fort_Thompson,_South_Dakota	Fort Thompson, South Dakota	Fort Thompson	Paddlefish Capital of the World
Leola,_South_Dakota	Leola, South Dakota	Leola	Rhubarb Capital of the World
Rapid_City,_South_Dakota	Rapid City, South Dakota	Rapid City	Gateway to the Black Hills
Rapid_City,_South_Dakota	Rapid City, South Dakota	Rapid City	Real. America. Up Close
Rapid_City,_South_Dakota	Rapid City, South Dakota	Rapid City	Star of the West
Redfield,_South_Dakota	Redfield, South Dakota	Redfield	Pheasant Capital of the World
Sioux_Falls,_South_Dakota	Sioux Falls, South Dakota	Sioux Falls	Gateway to the Plains
Adamsville,_Tennessee	Adamsville, Tennessee	Adamsville	The Biggest Little Town in Tennessee
Athens,_Tennessee	Athens, Tennessee	Athens	The Friendly City 
Bristol,_Tennessee	Bristol, Tennessee	Bristol	The Birthplace of Country Music (shares this nickname with Bristol, Virginia) 
Chattanooga,_Tennessee	Chattanooga, Tennessee	Chattanooga	Dynamo of Dixie
Chattanooga,_Tennessee	Chattanooga, Tennessee	Chattanooga	The Scenic City
Chattanooga,_Tennessee	Chattanooga, Tennessee	Chattanooga	City of Lights
Chattanooga,_Tennessee	Chattanooga, Tennessee	Chattanooga	Gateway to the South
Clarksville,_Tennessee	Clarksville, Tennessee	Clarksville	Gateway to the New South
Clarksville,_Tennessee	Clarksville, Tennessee	Clarksville	The Queen City or Queen of the Cumberland
Clarksville,_Tennessee	Clarksville, Tennessee	Clarksville	Tennessee's Top Spot (introduced as a new city "brand" in April 2008)
Columbia,_Tennessee	Columbia, Tennessee	Columbia	Mule Capital of the World
Elizabethton,_Tennessee	Elizabethton, Tennessee	Elizabethton	City of Power
Johnson_City,_Tennessee	Johnson City, Tennessee	Johnson City	Little Chicago of the South
Jonesborough,_Tennessee	Jonesborough, Tennessee	Jonesborough	Tennessee's Oldest Town
Kenton,_Tennessee	Kenton, Tennessee	Kenton	Home of the White Squirrels
Kingsport,_Tennessee	Kingsport, Tennessee	Kingsport	The Model City 
Knoxville,_Tennessee	Knoxville, Tennessee	Knoxville	Gateway to the Smokies
Knoxville,_Tennessee	Knoxville, Tennessee	Knoxville	The Marble City
Knoxville,_Tennessee	Knoxville, Tennessee	Knoxville	Underwear Capital of the World
Lebanon,_Tennessee	Lebanon, Tennessee	Lebanon	Appalachian Square Dance Capital of the World
Lenoir_City,_Tennessee	Lenoir City, Tennessee	Lenoir City	Lakeway to the Smokies
McMinnville,_Tennessee	McMinnville, Tennessee	McMinnville	Nursery Capital of the World
Memphis,_Tennessee	Memphis, Tennessee	Memphis	Barbecued Pork Capital of the World
Memphis,_Tennessee	Memphis, Tennessee	Memphis	Home of the Blues
Memphis,_Tennessee	Memphis, Tennessee	Memphis	Bluff City
Memphis,_Tennessee	Memphis, Tennessee	Memphis	Birthplace of Rock 'n Roll
Nashville,_Tennessee	Nashville, Tennessee	Nashville	The Athens of the South
Nashville,_Tennessee	Nashville, Tennessee	Nashville	City of Rocks (reported in the 1880s)
Nashville,_Tennessee	Nashville, Tennessee	Nashville	Music City
Nashville,_Tennessee	Nashville, Tennessee	Nashville	The Protestant Vatican
Oak_Ridge,_Tennessee	Oak Ridge, Tennessee	Oak Ridge	America's Secret City
Oak_Ridge,_Tennessee	Oak Ridge, Tennessee	Oak Ridge	The Atomic City
Shelbyville,_Tennessee	Shelbyville, Tennessee	Shelbyville	Pencil City
Shelbyville,_Tennessee	Shelbyville, Tennessee	Shelbyville	Walking Horse Capital of the World
Wartrace,_Tennessee	Wartrace, Tennessee	Wartrace	Cradle of the Tennessee Walking Horse
Cottonwood_Heights,_Utah	Cottonwood Heights, Utah	Cottonwood Heights	City between the Canyons
Green_River,_Utah	Green River, Utah	Green River	The World's Watermelon Capital
Kanab,_Utah	Kanab, Utah	Kanab	Utah's Little Hollywood
Kanab,_Utah	Kanab, Utah	Kanab	Greatest Earth on Show
Orem	Orem	Orem	Family City USA
Provo,_Utah	Provo, Utah	Provo	Happy Valley
St._George,_Utah	St. George, Utah	St. George	Utah's Dixie
Salt_Lake_City,_Utah	Salt Lake City, Utah	Salt Lake City	City of the Saints
Salt_Lake_City,_Utah	Salt Lake City, Utah	Salt Lake City	Crossroads of the West
Springville,_Utah	Springville, Utah	Springville	Art City
Barre_(city),_Vermont	Barre (city), Vermont	Barre	Granite Capital of the World
Burlington,_Vermont	Burlington, Vermont	Burlington	The Queen City
Burlington,_Vermont	Burlington, Vermont	Burlington	The People's Republic of Burlington (used when Bernie Sanders was mayor)
Rutland_(city),_Vermont	Rutland (city), Vermont	Rutland	The Marble City
St._Albans_(town),_Vermont	St. Albans (town), Vermont	St. Albans	Rail City
Winooski,_Vermont	Winooski, Vermont	Winooski	The Onion City
Bristol,_Virginia	Bristol, Virginia	Bristol	The Birthplace of Country Music (shares this nickname with Bristol, Tennessee)
Charlottesville,_Virginia	Charlottesville, Virginia	Charlottesville	So Very Virginia
Colonial_Beach,_Virginia	Colonial Beach, Virginia	Colonial Beach	Oyster Capital of the Potomac
Danville,_Virginia	Danville, Virginia	Danville	City of Lights
Danville,_Virginia	Danville, Virginia	Danville	City of Churches
Danville,_Virginia	Danville, Virginia	Danville	Last Capitol of the Confederacy
Fredericksburg,_Virginia	Fredericksburg, Virginia	Fredericksburg	Where History Never Gets Old
Honaker,_Virginia	Honaker, Virginia	Honaker	Redbud Capital of the World
Lynchburg,_Virginia	Lynchburg, Virginia	Lynchburg	City of Seven Hills 
Lynchburg,_Virginia	Lynchburg, Virginia	Lynchburg	The Hill City 
Norfolk,_Virginia	Norfolk, Virginia	Norfolk	Life, Celebrated Deeply
Radford,_Virginia	Radford, Virginia	Radford	The New River City 
Richmond,_Virginia	Richmond, Virginia	Richmond	The River City 
Roanoke,_Virginia	Roanoke, Virginia	Roanoke	Star City of the South
Roanoke,_Virginia	Roanoke, Virginia	Roanoke	Magic City
Virginia_Beach,_Virginia	Virginia Beach, Virginia	Virginia Beach	The Resort City
Winchester,_Virginia	Winchester, Virginia	Winchester	Apple Capital of the World
Williamsburg,_Virginia	Williamsburg, Virginia	Williamsburg	The Colonial Capital 
Williamsburg,_Virginia	Williamsburg, Virginia	Williamsburg	The Burg 
Bluefield,_West_Virginia	Bluefield, West Virginia	Bluefield	Nature's Air Conditioned City
Buckhannon,_West_Virginia	Buckhannon, West Virginia	Buckhannon	Heart of West Virginia
Charleston,_West_Virginia	Charleston, West Virginia	Charleston	Chemicalville
Fairmont,_West_Virginia	Fairmont, West Virginia	Fairmont	The Gymnastics Capital of West Virginia
Morgantown,_West_Virginia	Morgantown, West Virginia	Morgantown	Motown
Morgantown,_West_Virginia	Morgantown, West Virginia	Morgantown	Touchdown City
Petersburg,_West_Virginia	Petersburg, West Virginia	Petersburg	Home of the Golden Trout 
Weirton,_West_Virginia	Weirton, West Virginia	Weirton	Forged by Steel
Wheeling,_West_Virginia	Wheeling, West Virginia	Wheeling	Nail City 
Cheyenne,_Wyoming	Cheyenne, Wyoming	Cheyenne	The Magic City of the Plains
Cody,_Wyoming	Cody, Wyoming	Cody	Rodeo Capital of the World
Douglas,_Wyoming	Douglas, Wyoming	Douglas	Jackalope Capital of the World
Laramie,_Wyoming	Laramie, Wyoming	Laramie	Gem City of the Plains
Lovell,_Wyoming	Lovell, Wyoming	Lovell	The Rose City of Wyoming
Meeteetse,_Wyoming	Meeteetse, Wyoming	Meeteetse	Ferret Capital of the World
Meeteetse,_Wyoming	Meeteetse, Wyoming	Meeteetse	Where Chiefs Meet
Riverton,_Wyoming	Riverton, Wyoming	Riverton	We've Got All the Civilization You Need
